Date,Close,High,Low,Open,Volume
17-06-16,45634.69922,46985.37105829469,44770.26924,45742.752965913576,2605800
20-06-16,45670.71484,46337.04625117064,45652.70588679268,46066.91189681092,859800
21-06-16,47723.73828,48444.096594929244,45742.752918632075,45742.752918632075,2644500
22-06-16,47813.78516,48624.18829449152,47435.597025070616,47903.829949387946,1220200
23-06-16,47147.45703,48191.97670573911,46787.27783,48191.97670573911,1283400
24-06-16,47543.65234,47561.661302971115,45778.77434008049,47507.63442530776,1076000
27-06-16,47381.57031,47543.65094070695,47039.40009739643,47543.65094070695,792000
28-06-16,49506.62891,49506.62891,47543.652350854856,47543.652350854856,4942400
29-06-16,50854.25391,50854.25391,49899.68381084376,50161.72266056312,1937300
30-06-16,51659.08984,51790.10927451313,50685.80264379529,50947.84150532156,1877100
01-07-16,51097.57813,51958.56295787546,51041.42694024725,51958.56295787546,1276200
11-07-16,53905.13672,54653.819173177086,51771.39172363281,52033.43058,3132100
12-07-16,52576.22266,56151.18119215024,52482.63735426308,54092.30454843806,2955000
13-07-16,54092.30469,54260.75823150951,52782.11045631488,54092.30469,2178700
14-07-16,53998.72266,55028.16104311092,52744.679530437614,54279.47857993934,1096200
15-07-16,52707.24609,54840.99114157937,52089.58305358887,54466.64990511808,1935900
18-07-16,53324.91406,53324.91406,52108.304931554936,52707.25096525097,842400
19-07-16,53830.26563,53905.13386648122,52445.20315759735,53530.79266,1663400
20-07-16,56169.90234,56263.48765255331,53680.53313,53905.13787070976,2998100
21-07-16,57723.41406,58359.794113772696,57124.46813,57124.46813,1222000
22-07-16,58022.89063,58284.92948588709,56525.52570564516,57723.41764112903,662900
25-07-16,56151.18359,58322.36269270834,56151.18359375001,58172.6262,914900
26-07-16,53156.45313,56151.182878521126,53156.45313,56132.46581756162,3824900
27-07-16,51808.82813,53717.96847,51808.82813,53156.45660223989,2918500
28-07-16,51509.35547,52632.37920716752,50798.107101085574,52033.43321334484,3810600
29-07-16,50554.78516,52258.03782164013,50554.78516,51659.09182941503,3635400
01-08-16,51003.99609,51284.75203555046,50554.78658686927,50910.41077981651,3534400
02-08-16,51864.98047,52145.73640777247,51003.99558908111,51003.99558908111,2050600
03-08-16,51546.78516,52070.86285573257,51153.726881638075,51846.25813,2308200
04-08-16,51546.78516,51584.21927764161,51153.726881638075,51546.78516,953400
05-08-16,50760.67188,52108.30033185841,50536.06713219027,51659.09084623894,2326300
08-08-16,49993.27344,51266.03367477068,49899.68812593597,50929.12655314021,2071700
09-08-16,49038.69922,50161.72286498092,48739.22624642176,50030.70343958731,2604400
10-08-16,49581.49609,49787.383770998495,49038.70130827671,49113.56955454889,1524600
11-08-16,49413.04297,50105.57425278172,49263.30647,49768.66714163115,1149000
12-08-16,49338.17578,50086.858266549694,49300.74165698502,50086.858266549694,1031100
15-08-16,48608.20703,49506.62595212024,48215.14875336927,49375.606526159994,1075500
16-08-16,48514.62109,49225.86939682195,48402.31873010706,48795.37700285735,1090800
18-08-16,50536.06641,51415.768302951394,48926.39910590278,49038.70147569445,4505000
19-08-16,50929.12109,51490.632902942394,50386.32634486402,50760.66755099228,2138900
22-08-16,50274.02344,50985.27172142591,49862.24812,50910.403481012654,1474300
23-08-16,50161.72266,50161.72266,49188.43550023321,49974.55204932369,1674200
24-08-16,49637.64453,50461.19519466441,49487.90804699284,49787.38101550717,892300
25-08-16,50030.70703,50049.42409336419,48739.229745370365,49637.64872685185,1754500
26-08-16,49263.30469,49880.9677,49038.69995488221,49787.38239694149,951600
29-08-16,48589.49219,49413.04290254237,48552.05806408898,49263.30640889831,861100
30-08-16,47822.09375,49113.571037181995,47541.337818003914,49113.571037181995,1323100
31-08-16,48215.15234,48402.322966202446,47934.39641007133,48290.02059273098,1252600
01-09-16,46792.65625,47934.39706,46624.20269,47934.39706,1547300
02-09-16,47391.59766,47447.74883830717,46792.65171430688,46848.802896364046,752500
05-09-16,47915.67969,48271.30387268067,47578.77256469727,47578.77256469727,599500
06-09-16,48252.58203,48402.31851544317,47934.392002339504,48084.12848653268,778300
07-09-16,47372.88281,48364.88707526669,47372.88281,48252.58470589688,1153900
08-09-16,46755.21875,47372.881767914325,46418.311649319454,47372.881767914325,1051400
09-09-16,45763.21484,46717.78496932515,45763.21484,46717.78496932515,1048700
13-09-16,44920.94922,45763.21701660156,44920.94922,45763.21701660156,1152900
14-09-16,45669.62891,46025.25306576588,44340.71757332223,44789.92703797387,983300
15-09-16,46792.65625,46979.82688,45370.1595,45669.6325,999900
16-09-16,46792.65625,47166.997500000005,46137.559062500004,46811.37331,879300
19-09-16,48683.07422,48701.79128,46942.38759731834,47092.12408088235,1602700
20-09-16,47878.24219,48701.79287407154,47878.24219,48683.07581,829900
21-09-16,48196.43359,48477.189517597086,47204.42932949029,47878.24355,495400
22-09-16,48757.94531,48870.24768174184,48290.01877399232,48589.49175863723,1304700
23-09-16,48757.94531,48776.66237,48308.73583553263,48757.94531,829000
26-09-16,47915.67969,48814.09868164063,47634.923751831055,48814.09868164063,533800
27-09-16,47971.83203,48196.43678520044,47485.18839769069,48196.43678520044,821500
28-09-16,47616.20313,47971.82728355935,47391.59839,47915.67610062893,842400
29-09-16,46792.65625,48608.21131,46437.03206,48327.455375000005,1079300
30-09-16,46418.3125,48009.262726814515,46418.3125,46549.33193044354,1797400
03-10-16,48589.49219,48589.49219,46792.65426377119,46792.65426377119,1023800
04-10-16,50143.00781,50161.724874020154,48084.13104528275,48664.35995240761,2115800
05-10-16,50143.00781,50161.724874020154,49263.30592105263,49637.64715145576,1417400
06-10-16,50049.41797,50704.515062581806,49787.379131217276,50161.720327692594,1347300
07-10-16,49338.17578,50161.72651507967,48514.62504742033,50161.72651507967,895200
10-10-16,48683.07422,49338.17133434256,48664.35716,49338.17133434256,302100
11-10-16,48290.01563,49019.98097747093,47915.67441860465,48739.22507267442,1029300
12-10-16,48102.84766,48177.71590162937,47391.599325145915,47915.67704280155,1087900
13-10-16,48608.20703,48701.792335507314,48065.41226655756,48065.41226655756,1118400
14-10-16,48514.62109,49057.41585135754,48514.62109,48664.357578607254,876200
17-10-16,48739.22656,49076.13365855414,47990.54412682411,48552.055953581024,904100
18-10-16,49544.0625,49693.798994144316,48888.96533811862,49188.43832640725,722900
19-10-16,49618.92969,49731.232055710105,49207.15433739626,49431.75907381648,1133300
20-10-16,48776.66016,49356.88903761752,48776.66016,49282.020794860415,743700
21-10-16,49019.98047,49937.11641490072,48514.61984536082,48664.35632636502,2792300
24-10-16,49319.45703,49712.51532258064,48888.96461693548,49019.98404737903,658200
25-10-16,48832.8125,49675.080251054045,48776.66132,49675.080251054045,473900
26-10-16,48851.53125,49038.70186781609,48570.77532327586,48907.682435344825,550400
27-10-16,49712.50781,49787.37604715738,48907.67428993317,49038.693700583586,483600
28-10-16,49413.04297,49600.21358605587,49151.00410452178,49151.00410452178,363500
31-10-16,50835.54297,50891.69415759618,49413.04618464653,49787.38744362113,1465000
01-11-16,50910.40234,51209.87529871323,50536.061150045956,50947.83646,1120100
02-11-16,51097.57813,51097.57813,50236.59329212454,50872.97338598901,674600
